name,address,latitude,longitude,stars,good_for_meal,price,cuisine_1,cuisine_2,flavor,freshness,service,environment,value
High Street Philadelphia,101 S 9th St,39.949579,-75.1553831,4.0,"lunch, brunch, breakfast",$$,American (New),Not Applicable,excellent flavor,excellent freshness,good service,good environment,good value
Hinge Cafe,2652 E Somerset St,39.9792581,-75.1121554,4.5,"brunch, breakfast",$$,American (New),Not Applicable,good flavor,good freshness,average service,good environment,good value
HipCityVeg - University City,214 S 40th St,39.953549,-75.202991,4.0,"lunch, dinner",$$,Vegan,Not Applicable,good flavor,good freshness,average service,good environment,average value
HipCityVeg,127 S 18th St,39.950774,-75.170397,4.0,lunch,$$,Vegetarian,Not Applicable,good flavor,good freshness,average service,average environment,average value
Hippot Shabu Shabu,1002 Arch St,39.953486,-75.156575,3.5,"lunch, dinner",$$,Asian Fusion,Chinese,below average flavor,below average freshness,below average service,average environment,below average value
Hiro Ramen House,1102 Chestnut St,39.95001,-75.158862,4.0,"lunch, dinner",$$,Japanese,Not Applicable,average flavor,average freshness,average service,average environment,average value
Honey's Sit-N-Eat,800 N 4th St,39.96399,-75.1444822,4.0,"brunch, breakfast",$$,American (Traditional),Southern,good flavor,good freshness,good service,good environment,average value
honeygrow,110 S 16th St,39.9507231094,-75.1675008738,3.5,lunch,$$,Vegetarian,Not Applicable,good flavor,good freshness,average service,average environment,average value
House of Thai Cuisine,3520 Cottman Ave,40.0372006,-75.0421226,4.5,dinner,$$,Thai,Not Applicable,good flavor,good freshness,good service,good environment,good value
Hummus Grill,3931 Walnut St,39.954349,-75.2021586,4.0,"lunch, dinner",$,Mediterranean,Middle Eastern,good flavor,good freshness,average service,average environment,good value
IKEA,2206 Christopher Columbus Blvd,39.9171275,-75.1418318,3.0,Unknown,$$,Not Applicable,Not Applicable,good flavor,average freshness,below average service,average environment,good value
IndeBlue Modern Indian Food & Spirits,205 South 13th St,39.9485078263,-75.1619688173,4.5,dinner,$$,Indian,Not Applicable,good flavor,good freshness,average service,good environment,good value
Independence Beer Garden,100 S Independence Mall W,39.9502943,-75.150981,3.5,lunch,$$,American (New),American (Traditional),average flavor,average freshness,below average service,good environment,average value
Indian Kitchen Lovash,236 South St,39.94126,-75.1470703,3.5,dinner,$$,Indian,Pakistani,average flavor,average freshness,average service,average environment,average value
Indian Restaurant,1634 South St,39.9440532,-75.1699635,3.5,"lunch, dinner",$$,Indian,Not Applicable,average flavor,average freshness,below average service,average environment,average value
Iron Hill Brewery & Restaurant,1150 Market St,39.9515764639,-75.1596684381,4.0,dinner,$$,American (Traditional),Not Applicable,good flavor,good freshness,average service,good environment,good value
Iron Hill Brewery & Restaurant,8400 Germantown Ave,40.0750694,-75.2055144,3.5,"lunch, dinner",$$,American (New),American (Traditional),average flavor,average freshness,below average service,good environment,average value
Isgro Pastries,1009 Christian St,39.9393373391,-75.1597427314,4.5,Unknown,$$,Not Applicable,Not Applicable,excellent flavor,excellent freshness,average service,good environment,average value
Ishkabibble's,337 S St,39.9416787531,-75.1487875936,4.0,"lunch, dinner",$$,Seafood,Not Applicable,good flavor,good freshness,good service,average environment,average value
Isot Mediterranean Cuisine,622 S 6th St,39.9414231194,-75.1524895976,4.5,"dessert, dinner",$$,Mediterranean,Middle Eastern,good flavor,good freshness,good service,good environment,good value
J'aime French Bakery,212 S 12th St,39.948081,-75.1608093,4.5,Unknown,$$,Not Applicable,Not Applicable,excellent flavor,excellent freshness,good service,excellent environment,good value
Jack's Firehouse,2130 Fairmount Ave,39.9670823,-75.1733028,3.5,dinner,$$,American (New),Not Applicable,average flavor,average freshness,below average service,average environment,below average value
Jake's & Cooper's Wine Bar & Wine Shop,4365 Main St,40.025925,-75.2241818,3.5,dinner,$$$,American (New),Not Applicable,average flavor,average freshness,below average service,good environment,below average value
Jamaican Jerk Hut,1436 South St,39.944275,-75.166787,2.5,dinner,$$,Caribbean,Not Applicable,below average flavor,below average freshness,bad service,below average environment,bad value
Jasmine Rice - Rittenhouse,306 S 16th St,39.9470839462,-75.1682054067,3.5,dinner,$$,Thai,Not Applicable,average flavor,average freshness,below average service,average environment,below average value
Jerry's Bar,129 W Laurel St,39.9651094,-75.1389069,3.5,"dinner, brunch",$$,American (New),American (Traditional),good flavor,good freshness,average service,excellent environment,average value
Jim's South St,400 S St,39.941498,-75.149272,3.5,"lunch, dinner",$$,Italian,American (Traditional),good flavor,average freshness,average service,average environment,average value
JJ Thai Cuisine,2028 Chestnut St,39.9521034288,-75.174737909,4.5,"lunch, dinner",$$,Asian Fusion,Thai,good flavor,good freshness,good service,good environment,good value
Joe's Steaks + Soda Shop,6030 Torresdale Ave,40.0185131,-75.0581372,4.5,"lunch, dinner",$,Not Applicable,Not Applicable,excellent flavor,excellent freshness,good service,good environment,good value
Joe's Steaks + Soda Shop,1 W Girard Ave,39.969035,-75.134557,4.0,"latenight, lunch, dinner",$$,American (Traditional),Not Applicable,good flavor,good freshness,average service,good environment,good value
John's Roast Pork,14 E Snyder Ave,39.9210273851,-75.1450284438,4.5,lunch,$$,American,Not Applicable,excellent flavor,excellent freshness,average service,average environment,good value
Johnny Brenda's,1201 Frankford Ave,39.9690922,-75.134266,4.0,"latenight, dinner",$$,American (New),Greek,good flavor,good freshness,average service,excellent environment,average value
Jong Ka Jib,6600 N 5th St,40.0520643,-75.1273939,4.5,"lunch, dinner",$$,Korean,Not Applicable,excellent flavor,good freshness,average service,good environment,good value
Jose Pistola's,263 S 15th St,39.9476637,-75.166164,3.5,"latenight, dinner",$$,Mexican,Tex-Mex,good flavor,good freshness,average service,average environment,average value
K'Far Cafe,110 S 19th St,39.951593,-75.172171,4.5,"lunch, brunch, breakfast",$$,American (Traditional),Mediterranean,good flavor,good freshness,average service,good environment,average value
K-POT Korean BBQ & Hot Pot,789 Franklin Mills Cir,40.0924685,-74.9629393,4.5,"lunch, dinner",$$$,Korean,Barbeque,good flavor,excellent freshness,average service,good environment,good value
Kabobeesh,4201 Chestnut St,39.9564795,-75.2065288,3.5,"lunch, dinner",$$,Indian,Middle Eastern,good flavor,good freshness,below average service,below average environment,average value
Kabuki Sushi,45 N 13th St,39.9535852,-75.1609794,4.0,"lunch, dinner",$$,Japanese,Not Applicable,good flavor,good freshness,average service,average environment,good value
Kalaya,764 S 9th St,39.9399660086,-75.1577649178,4.5,dinner,$$$,Thai,Not Applicable,excellent flavor,excellent freshness,good service,average environment,average value
Karma Restaurant & Bar,114 Chestnut St,39.948182,-75.1431548,4.0,"lunch, dinner",$$,Indian,Not Applicable,good flavor,good freshness,average service,average environment,average value
Kensington Quarters,1310 Frankford Ave,39.9705028,-75.1346993,4.0,dinner,$$$,American (Traditional),American (New),good flavor,excellent freshness,average service,good environment,average value
Khyber Pass Pub,56 S 2nd St,39.9486423,-75.1441173,4.0,"latenight, dinner",$$,American (Traditional),Not Applicable,good flavor,good freshness,average service,average environment,good value
Kite & Key,1836 Callowhill St,39.960395,-75.169675,3.5,dinner,$$,American,Not Applicable,average flavor,average freshness,average service,good environment,average value
Knead Bagels,725 Walnut St,39.9481128,-75.1536477,4.5,"lunch, brunch, breakfast",$,Not Applicable,Not Applicable,excellent flavor,excellent freshness,good service,good environment,good value
Koch's Deli,4309 Locust St,39.953956271,-75.2097241761,4.0,lunch,$$,Kosher,Not Applicable,good flavor,good freshness,average service,average environment,average value
Koreana,3801 Chestnut St,39.9556166133,-75.1989265346,3.5,"lunch, dinner",$$,Italian,Korean,good flavor,average freshness,average service,average environment,good value
Koto Sushi,719 Sansom St,39.9487051045,-75.1531596925,4.5,"lunch, dinner",$$,Japanese,Not Applicable,good flavor,excellent freshness,excellent service,good environment,good value
Kraftwork,541 E Girard Ave,39.9714957,-75.1273589,4.0,dinner,$$,Not Applicable,Not Applicable,average flavor,average freshness,average service,good environment,average value
Kung Fu Tea,1006 Arch St,39.95349,-75.156748,3.5,,$,Taiwanese,Not Applicable,good flavor,good freshness,average service,good environment,average value
L'Angolo Ristorante,1415 W Porter St,39.919628,-75.1713762,4.5,dinner,$$,Italian,Not Applicable,excellent flavor,excellent freshness,good service,good environment,good value
La Calaca Feliz,2321 Fairmount Ave,39.967534,-75.1760734,4.0,dinner,$$,Mexican,Not Applicable,good flavor,good freshness,good service,excellent environment,good value
La Colombe Coffee,130 S 19th St,39.9506099,-75.172368,4.0,Unknown,$$$$,Not Applicable,Not Applicable,good flavor,good freshness,average service,average environment,average value
La Colombe Coffee,1335 Frankford Ave,39.9712343,-75.1342432,4.5,"lunch, brunch, breakfast",$$,Not Applicable,Not Applicable,good flavor,good freshness,average service,excellent environment,average value
La Fontana Della Citta,1701 Spruce St,39.9477642,-75.1696977,3.0,dinner,$$,Italian,Not Applicable,below average flavor,below average freshness,bad service,below average environment,below average value
La Viola,"253 S 16th St, Apt 1",39.947783,-75.1677739,3.5,dinner,$$,Italian,Not Applicable,average flavor,average freshness,below average service,below average environment,average value
Lacroix Restaurant at The Rittenhouse,210 W Rittenhouse Sq,39.9499125,-75.1736448,4.5,,$$$$,Asian Fusion,Brazilian,excellent flavor,excellent freshness,excellent service,excellent environment,good value
Ladder 15,1528 Sansom St,39.9502786,-75.1669645,3.0,,$$,American (New),Not Applicable,below average flavor,below average freshness,bad service,below average environment,below average value
Landmark Americana Tap & Grill - University City,3333 Market St,39.9559586568,-75.1906506718,3.0,dinner,$$,American (New),Not Applicable,average flavor,below average freshness,below average service,average environment,average value
Las Bugambilias,15 S 3rd St,39.9499940204,-75.1454153298,4.0,dinner,$$$,Mexican,Not Applicable,good flavor,good freshness,average service,average environment,average value
Las Cazuelas Restaurant BYOB,426 W Girard Ave,39.9698623,-75.1439919,4.0,dinner,$$,Mexican,Latin American,good flavor,average freshness,average service,average environment,average value
Las Margaritas,2538 Welsh Rd,40.0726066,-75.0341246,3.5,"lunch, dinner",$$,Mexican,Not Applicable,average flavor,average freshness,below average service,average environment,average value
LaScala's Birra,1700 E Passyunk Ave,39.9286739096,-75.1650932751,4.0,dinner,$$,Italian,Not Applicable,good flavor,good freshness,average service,average environment,good value
Laurel,1617 E Passyunk Ave,39.9294148,-75.1637155,4.5,dinner,$$$$,French,American (New),excellent flavor,excellent freshness,excellent service,good environment,good value
Lazaro's Pizzeria & Grill,1743 South St,39.944571,-75.171679,4.0,"lunch, dinner",$,Italian,Not Applicable,good flavor,good freshness,average service,average environment,good value
Le Pain Quotidien,1425 Walnut St,39.949621,-75.165252,3.5,"lunch, brunch, breakfast",$$,Belgian,French,good flavor,good freshness,average service,good environment,average value
Le Viet Restaurant,1019 S 11th St,39.9376867,-75.1610435,4.0,"lunch, dinner",$$,Vietnamese,Not Applicable,good flavor,good freshness,average service,excellent environment,good value
Le Virtu,1927 E Passyunk Ave,39.926032,-75.1678,4.0,dinner,$$$,Italian,Not Applicable,good flavor,good freshness,average service,good environment,average value
Little Fish,746 S 6th St,39.939989,-75.152854,4.5,dinner,$$$,Seafood,Not Applicable,good flavor,good freshness,average service,good environment,average value
Little Nonna's,1234 Locust St,39.947786438,-75.1618928091,4.0,dinner,$$,Italian,Not Applicable,good flavor,good freshness,average service,good environment,good value
Local 44,4333 Spruce St,39.952821,-75.210442,3.5,"latenight, dinner",$$,American (New),Not Applicable,average flavor,average freshness,below average service,average environment,average value
Local Tavern,"8000 Essington Ave, Gate F11, Terminal F",39.8951784,-75.2279726,2.5,"lunch, breakfast",$$,American (New),Italian,average flavor,average freshness,below average service,average environment,below average value
Loco Pez,2401 E Norris St,39.977142,-75.127202,4.0,"dinner, brunch",$$,Mexican,Not Applicable,good flavor,good freshness,average service,average environment,good value
Loews Philadelphia Hotel,1200 Market St,39.9517461,-75.1602286,3.5,Unknown,$$$,Seafood,Not Applicable,good flavor,good freshness,average service,good environment,average value
Lolita,106 S 13th St,39.9500808716,-75.162,4.0,dinner,$$,Mexican,Not Applicable,good flavor,good freshness,average service,good environment,average value
Lorenzo & Sons Pizza,305 S St,39.941596,-75.1478101,4.0,latenight,$,Italian,Not Applicable,average flavor,average freshness,below average service,below average environment,average value
Los Gallos Mexican Taqueria,951 Wolf St,39.9211192555,-75.1632766118,4.5,"lunch, dinner",$$,Mexican,Not Applicable,good flavor,good freshness,below average service,average environment,good value
Louie Louie,3611 Walnut St,39.9532791038,-75.1955875611,4.0,"dessert, lunch, dinner, brunch",$$$,American (New),Modern European,good flavor,good freshness,average service,excellent environment,average value
Love & Honey Fried Chicken,1100 N Front St,39.9674815,-75.136957,4.5,"dessert, lunch, dinner",$$,American (Traditional),Soul Food,excellent flavor,excellent freshness,good service,good environment,good value
Lucha Cartel,207 Chestnut St,39.9484906,-75.1444675,3.5,dinner,$$,Mexican,Not Applicable,average flavor,average freshness,below average service,good environment,average value
Lucky Strike - Philadelphia,1336 Chestnut St,39.950671,-75.1633942,3.0,"latenight, dinner",$$,American (Traditional),Not Applicable,below average flavor,below average freshness,bad service,below average environment,bad value
Lucky's Last Chance,4421 Main St,40.026303576,-75.2255360669,4.5,dinner,$$,Not Applicable,Not Applicable,excellent flavor,good freshness,good service,good environment,good value
Luke's Lobster Rittenhouse,130 S 17th St,39.9505067,-75.1691375,4.5,lunch,$$,Seafood,Not Applicable,excellent flavor,excellent freshness,good service,good environment,average value
Luna Café,317 Market St,39.9504011,-75.1463684,4.0,"lunch, brunch, breakfast",$$,American (Traditional),Not Applicable,average flavor,good freshness,average service,good environment,average value
Mac Mart,104 South 18th St,39.9514489,-75.1705213,4.0,lunch,$$,American,Not Applicable,good flavor,good freshness,good service,average environment,average value
Mac's Tavern,226 Market St,39.949794,-75.144739,3.5,latenight,$$,American (New),Not Applicable,average flavor,average freshness,below average service,average environment,average value
Maggiano's Little Italy,1201 Filbert St,39.9531992,-75.1602278,3.5,dinner,$$,Italian,Not Applicable,good flavor,good freshness,average service,good environment,average value
Manakeesh Cafe Bakery & Grill,4420 Walnut St,39.9549844,-75.2115232,4.0,"dessert, lunch, dinner, brunch",$$,Mediterranean,Lebanese,good flavor,good freshness,average service,good environment,good value
Manayunk Brewery,4120 Main St,40.022471,-75.2188,3.5,dinner,$$,American,Sushi,average flavor,average freshness,below average service,good environment,average value
Marathon On the Square,1839 Spruce St,39.9481101,-75.1726188,3.5,lunch,$$,American (New),Not Applicable,average flavor,average freshness,below average service,good environment,average value
Marathon,121 S 16th St,39.9504833638,-75.1673305865,3.5,"lunch, brunch",$$,American (New),Not Applicable,average flavor,average freshness,below average service,average environment,average value
Marmont Steakhouse & Bar,222 Market St,39.9497397,-75.1445806,3.5,dinner,$$$,American,Not Applicable,average flavor,average freshness,average service,average environment,average value
Marra's,1734 E Passyunk Ave,39.9279881,-75.1658701,3.0,dinner,$$,Italian,Not Applicable,average flavor,average freshness,below average service,below average environment,average value
Marrakesh,517 S Leithgow St,39.9420436,-75.1495102,4.5,dinner,$$$,Mediterranean,Moroccan,good flavor,good freshness,good service,good environment,good value
Masala Kitchen Kati Rolls and Platters,1115 Walnut St,39.9491761,-75.159714,4.0,"latenight, lunch, dinner",$,Indian,Not Applicable,good flavor,good freshness,good service,average environment,good value
Max Brenner - Philadelphia,1500 Walnut St,39.9491000076,-75.1661748827,3.5,dessert,$$,American,Not Applicable,average flavor,average freshness,below average service,average environment,below average value
Max's Steaks,3653 Germantown Ave,40.009045,-75.150471,4.0,"latenight, lunch, dinner",$$,Not Applicable,Not Applicable,good flavor,good freshness,average service,average environment,good value
McCormick & Schmick's Seafood & Steaks,1 S Broad St,39.951353,-75.1634754,2.5,dinner,$$,American (Traditional),Seafood,average flavor,average freshness,below average service,average environment,average value
McCrossen's Tavern,529 N 20th St,39.9630919,-75.1709203,4.0,brunch,$$,American (Traditional),Not Applicable,good flavor,good freshness,average service,good environment,good value
McGillin's Olde Ale House,1310 Drury St,39.950168,-75.162607,4.0,Unknown,$$,American (Traditional),Irish,average flavor,average freshness,below average service,average environment,average value
Melograno,2012 Sansom St,39.9512428,-75.1741148,3.5,dinner,$$$,Italian,Not Applicable,good flavor,good freshness,average service,average environment,good value
Melrose Diner,1501 Snyder Ave,39.925004,-75.172084,3.0,"latenight, lunch, breakfast",$,Not Applicable,Not Applicable,average flavor,average freshness,below average service,below average environment,below average value
Memphis Taproom,2331 E Cumberland St,39.9803676,-75.1230344,4.0,Unknown,$$,American (New),Not Applicable,good flavor,good freshness,average service,good environment,good value
Mercato BYOB,1216 Spruce St,39.9464996,-75.1617652,4.0,dinner,$$$,Italian,Mediterranean,good flavor,good freshness,average service,average environment,average value
Middle Child,248 S 11th St,39.9471698,-75.1594404,4.5,"lunch, brunch, breakfast",$$,Breakfast & Brunch,Not Applicable,excellent flavor,good freshness,good service,good environment,average value
Miel Patisserie,204 S 17th St,39.9497118,-75.169361,3.5,Unknown,$$,Not Applicable,Not Applicable,average flavor,average freshness,below average service,average environment,average value
Miles Table,1620 South St,39.944043,-75.1695127,4.5,"lunch, brunch, breakfast",$$,American (Traditional),Not Applicable,good flavor,good freshness,average service,good environment,good value
MilkBoy,1100 Chestnut St,39.950125,-75.1587931,3.5,Unknown,$$,American (New),Not Applicable,average flavor,average freshness,below average service,good environment,average value
Misconduct Tavern,1511 Locust St,39.9486272,-75.1666356,3.5,"latenight, lunch, dinner",$$$,American (Traditional),Not Applicable,average flavor,average freshness,below average service,average environment,average value
Mission Taqueria,"1516 Sansom St, Fl 2",39.9502217062,-75.1665529981,4.0,"lunch, dinner",$$,Mexican,Not Applicable,good flavor,good freshness,average service,excellent environment,average value
Mixto,1141 Pine St,39.945195,-75.161082,4.0,dinner,$$,Latin American,Italian,average flavor,average freshness,below average service,good environment,average value
Molly Malloy's,1136 Arch St,39.9531200778,-75.1589835418,4.0,lunch,$$,American,Not Applicable,good flavor,good freshness,average service,good environment,good value
Monk's Cafe,264 S 16th St,39.947701,-75.1682869,4.0,dinner,$$,Belgian,Not Applicable,good flavor,good freshness,average service,average environment,average value
Mood Cafe,4618 Baltimore Ave,39.9486639126,-75.2158315415,4.5,"lunch, dinner",$,Pakistani,Indian,excellent flavor,excellent freshness,excellent service,good environment,excellent value
Morgan's Pier,221 N Columbus Blvd,39.9549030181,-75.1389125268,3.0,latenight,$$,American (New),Seafood,average flavor,average freshness,below average service,good environment,average value
Moriarty's Restaurant and Irish Pub,1116 Walnut St,39.9485658,-75.1598508,3.5,"latenight, lunch, dinner",$$,American (Traditional),Irish,good flavor,average freshness,below average service,average environment,average value
Morimoto,723 Chestnut St,39.9496652299,-75.1532727008,4.5,dinner,$$$$,Asian Fusion,Not Applicable,excellent flavor,excellent freshness,good service,good environment,average value
Moshulu,401 S Columbus Blvd,39.942335482,-75.1413081,3.5,dinner,$$$,American,Seafood,good flavor,good freshness,average service,good environment,average value
Murph's Bar,202 E Girard Ave,39.9689397,-75.1334333,4.0,"dessert, latenight, dinner",$$,Italian,Not Applicable,excellent flavor,excellent freshness,average service,average environment,good value
Nam Phuong,1100 Washington Ave,39.9364886,-75.1622139,4.0,"lunch, dinner",$$,Vietnamese,Not Applicable,good flavor,good freshness,average service,good environment,good value
Nan Zhou Hand Drawn Noodle House,1022 Race St,39.9554005671,-75.1569010986,4.0,"lunch, dinner",$$,Chinese,Not Applicable,excellent flavor,excellent freshness,good service,good environment,excellent value
National Mechanics,22 S 3rd St,39.9495443,-75.1459872,4.0,dinner,$$,American (New),American (Traditional),good flavor,good freshness,average service,good environment,good value
New Deck Tavern,3408 Sansom St,39.9535171,-75.1926364399,3.5,"latenight, dinner",$$,American (Traditional),Irish,average flavor,average freshness,below average service,average environment,average value
New Delhi Indian Restaurant,4004 Chestnut St,39.9553921,-75.2026195,4.0,"lunch, dinner",$$,Indian,Pakistani,good flavor,good freshness,average service,good environment,good value
Nifty Fifty's,2491 Grant Ave,40.0794684018,-75.0253902955,3.5,"dessert, lunch, dinner, breakfast",$$,Burgers,Not Applicable,good flavor,good freshness,below average service,average environment,good value
Nine Ting,926 Race St,39.9550836837,-75.1552917273,4.0,"latenight, lunch, dinner",$$$,Asian Fusion,Not Applicable,average flavor,average freshness,below average service,average environment,average value
Nom Nom Ramen,20 S 18th St,39.9524929,-75.1702943,4.0,"lunch, dinner",$$,Japanese,Ramen,average flavor,average freshness,average service,average environment,average value
Nom Wah Philadelphia,218 N 13th St,39.956593,-75.160772,4.0,lunch,$$,Chinese,Cantonese,good flavor,good freshness,average service,good environment,average value
Nomad Pizza Company,611 S 7th St,39.9418368,-75.153837,4.5,dinner,$$,Italian,Pizza,good flavor,good freshness,average service,good environment,average value
Nook Bakery & Coffee Bar,15 S 20th St,39.952725,-75.1729016,4.5,breakfast,$,Italian,Not Applicable,excellent flavor,excellent freshness,excellent service,good environment,good value
Noord,1046 Tasker St,39.92966,-75.163003,4.5,dinner,$$$,American (New),Scandinavian,excellent flavor,excellent freshness,excellent service,good environment,good value
North Bowl,909 N 2nd St,39.9644125073,-75.1403277254,4.0,"latenight, dinner",$$,American (Traditional),Vegan,good flavor,good freshness,average service,good environment,average value
North Third,801 N 3rd St,39.96350593,-75.1427820977,4.0,dinner,$$,American (New),Not Applicable,good flavor,good freshness,average service,good environment,average value
Ocean Harbor,1023 Race St,39.9557218,-75.1567726,3.0,"lunch, brunch",$$,Chinese,Seafood,average flavor,average freshness,bad service,below average environment,average value
Ocean Prime,124 S 15th St,39.9501744,-75.1659335862,4.0,dinner,$$$$,American (New),Seafood,good flavor,good freshness,average service,good environment,average value
OCF Coffee House,2100 Fairmount Ave,39.967128,-75.172378,4.0,"lunch, brunch, breakfast",$$,Not Applicable,Not Applicable,good flavor,good freshness,average service,good environment,average value
Octopus Falafel Truck,20th & Ludlow St,39.952932,-75.173293,4.5,lunch,$,Mediterranean,Middle Eastern,excellent flavor,excellent freshness,average service,good environment,excellent value
Oh Brother Philly,206 Market St,39.9496989,-75.1441608,4.5,"dessert, latenight, lunch, dinner",$$,Not Applicable,Not Applicable,excellent flavor,good freshness,good service,excellent environment,good value
One Shot Coffee,217 W George St,39.9677290083,-75.1406717064,4.0,"brunch, breakfast",$$,American (Traditional),Not Applicable,average flavor,average freshness,below average service,good environment,below average value
Oscar's Tavern,1524 Sansom St,39.9502531,-75.1668064,4.0,Unknown,$$,Not Applicable,Not Applicable,average flavor,average freshness,good service,average environment,good value
Osteria,640 N Broad St,39.965015,-75.161076,4.0,dinner,$$$,Italian,Not Applicable,excellent flavor,good freshness,good service,excellent environment,average value
Oyster House,1516 Sansom St,39.9502216,-75.166553,4.0,dinner,$$$,Seafood,Not Applicable,excellent flavor,excellent freshness,good service,good environment,good value
P S & Co,1706 Locust St,39.9487961,-75.1697449,4.0,"lunch, brunch, breakfast",$$,Vegetarian,Vegan,average flavor,good freshness,average service,good environment,below average value
P'unk Burger,1823 E Passyunk Ave,39.9271243,-75.1663375,3.5,"lunch, dinner",$$,Burgers,Not Applicable,average flavor,average freshness,average service,average environment,below average value
Panorama,14 N Front St,39.950201,-75.142285,4.0,dinner,$$$,Italian,Not Applicable,good flavor,good freshness,average service,good environment,average value
Parc,227 S 18th St,39.9491724,-75.1707273,4.0,"lunch, dinner, brunch",$$$,French,American (New),good flavor,good freshness,average service,excellent environment,average value
Pat's King of Steaks,1237 E Passyunk Ave,39.9332010583,-75.159265814,3.0,"latenight, lunch, dinner",$$,Italian,American (Traditional),average flavor,average freshness,below average service,average environment,average value
Pattaya,4040 Locust St,39.9529055,-75.204785,3.5,"lunch, dinner",$$,Asian Fusion,Thai,below average flavor,below average freshness,below average service,average environment,below average value
Pearl's Oyster Bar,51 N 12th St,39.953298,-75.159071,4.0,"lunch, brunch, breakfast",$$,American (New),Seafood,below average flavor,average freshness,below average service,average environment,average value
Penang,117 N 10th St,39.954044,-75.15598,3.5,dinner,$$,Asian Fusion,Malaysian,good flavor,average freshness,below average service,average environment,good value
Penrose Diner,2016 Penrose Ave,39.9122173,-75.1827641,4.0,"dessert, latenight, lunch, dinner, brunch, breakfast",$$,Comfort Food,Not Applicable,good flavor,good freshness,average service,good environment,good value
Philadelphia Marriott Downtown,"1201 Market Street, (guest entrance at 1200 Filbert Street).",39.952534,-75.160578,3.0,Unknown,$$,Not Applicable,Not Applicable,average flavor,average freshness,average service,average environment,below average value
Philadelphia Museum of Art,2600 Benjamin Franklin Pkwy,39.965573,-75.180969,4.5,Unknown,,American,Not Applicable,excellent flavor,excellent freshness,good service,excellent environment,good value
Philip's Steaks,2234 W Passyunk Ave,39.9225830143,-75.1848140609,3.5,"latenight, lunch, dinner",$,Not Applicable,Not Applicable,average flavor,average freshness,average service,below average environment,average value
Pho 75,1122 Washington Ave,39.9372212861,-75.1628434626,4.5,"lunch, dinner",$$,Vietnamese,Asian Fusion,good flavor,good freshness,good service,average environment,good value
Pho Cali Vietnamese Restaurant,1000 Arch St,39.9533132,-75.1565235,3.5,"lunch, dinner",$,Vietnamese,Not Applicable,average flavor,average freshness,average service,average environment,good value
Pho Ha Saigon,575 Adams Ave,40.0359369248,-75.107954232,3.5,"lunch, dinner",$,Vietnamese,Not Applicable,average flavor,average freshness,below average service,good environment,average value
Pho Ha,600 Washington Ave,39.9344521341,-75.1544015359,4.0,"lunch, dinner",$$,Vietnamese,Chinese,good flavor,good freshness,average service,average environment,excellent value
Pho Saigon,"1100 S Christopher Columbus Blvd, Unit 22",39.932705,-75.14438,4.0,"lunch, dinner",$$,Vietnamese,Not Applicable,good flavor,good freshness,average service,average environment,good value
Pho Xe Lua Viet Thai Restaurant,907 Race St,39.9553922,-75.1546977,4.0,"lunch, dinner",$$,Vietnamese,Thai,good flavor,average freshness,average service,below average environment,good value
Pietro's Coal Oven Pizzeria,1714 Walnut St,39.9497512,-75.1699969,3.5,dinner,$$,Italian,Not Applicable,good flavor,good freshness,average service,good environment,average value
Pinefish,1138 Pine St,39.94499,-75.161245,3.5,dinner,$$,Seafood,Not Applicable,average flavor,good freshness,average service,average environment,average value
Pizza Brain,2313 Frankford Ave,39.9806746,-75.1280968,4.0,"lunch, dinner",$$,Pizza,Not Applicable,average flavor,average freshness,below average service,good environment,below average value
Pizzeria Beddia,1313 North Lee St,39.970799,-75.134989433,4.0,dinner,$$,Italian,Not Applicable,good flavor,good freshness,average service,good environment,average value
Pizzeria Stella,420 S 2nd St,39.9424247094,-75.1456823945,4.0,"lunch, dinner",$$,Italian,Not Applicable,good flavor,good freshness,average service,good environment,average value
Pizzeria Vetri,1615 Chancellor St,39.94941083,-75.1686977423,4.0,"lunch, dinner",$$,Italian,Not Applicable,good flavor,good freshness,average service,good environment,average value
Pizzeria Vetri,1939 Callowhill St,39.960888,-75.171213,4.0,"lunch, dinner",$$,Italian,Not Applicable,good flavor,good freshness,average service,average environment,average value
Pod,3636 Sansom St,39.9539707735,-75.1960369886,3.5,dinner,$$,Asian Fusion,Not Applicable,average flavor,average freshness,average service,good environment,below average value
Porcini,2048 Sansom St,39.951348,-75.1751139,3.5,dinner,$$,Italian,Not Applicable,average flavor,average freshness,below average service,below average environment,below average value
Positano Coast by Aldo Lamberti,"212 Walnut St, Fl 2",39.9466579,-75.144724,3.5,dinner,$$,Italian,Seafood,average flavor,average freshness,below average service,good environment,average value
Prohibition Taproom,501 N 13th St,39.9613018,-75.1593118,4.0,"latenight, dinner",$$,American (Traditional),Not Applicable,good flavor,good freshness,average service,good environment,good value
Pub & Kitchen,1946 Lombard St,39.9456566,-75.1747733,3.5,dinner,$$$,American (New),Not Applicable,average flavor,good freshness,average service,good environment,average value
Pumpkin,1713 South St,39.9444366,-75.1708063,4.0,dinner,$$$,American (New),Not Applicable,good flavor,good freshness,average service,good environment,average value
Punch Line Philly,33 E Laurel St,39.965141,-75.135429,3.5,"latenight, dinner",$$,American (New),Not Applicable,average flavor,average freshness,average service,good environment,average value
QT Vietnamese Sandwich,48 N 10th St,39.953229,-75.156582,4.5,lunch,$,Vietnamese,Not Applicable,excellent flavor,good freshness,excellent service,average environment,good value
